judge_number,judge_date,transfer_agency,transfer_date,happened_date,who_report,misinformation_place,misinformation_issue,misinformation_content,penalty_or_not,administrative_fine,reason
臺灣高雄地方法院鳳山簡易庭裁定108年度鳳秩字第86號,2019/8/28,高雄市政府警察局鳳山分局,2019/8/6,2019/7/18,,臉書,災害謠言,高雄下雨淹水了,罰,2000元,
臺灣花蓮地方法院裁定108年度花秩字第29號,2019/8/28,花蓮縣警察局花蓮分局,2019/7/30,2019/7/24,,PTT ,政治人物謠言,在YT看到以前的影片2010高雄淹水的時候。說治水中央八成地方兩成時的影片站在時任市長陳菊後面的那位是嗎？難道國安憲哥也一起北漂了嗎？,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定108年度北秩字第352號,2019/8/29,臺北市政府警察局松山分局,2019/8/20,2019/7/4,,臉書,災害謠言,施政好不好？下個雨就知道。怎麼？這次下雨都是綠獨縣市（屏東、新竹、臺南、桃園、基隆）淹水,罰,2000元,
臺灣桃園地方法院裁定108年度壢秩字第102號,2019/8/30,桃園市政府警察局龍潭分局,2019/8/13,2019/7/10,民眾向總統府檢舉,臉書,批評執政者,修官邸一億兩千萬超前三任16年總和8千萬買車四千萬,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院裁定108年度中秩字第151號,2019/8/30,臺中市政府警察局第三分局,2019/8/2,2019/7/21,,YouTube,社會案件,重機騎士在中投公路騎乘時，不滿前方車輛未注意後方騎士，任意變換車道，機車騎士欲上前理論時，對方車內乘客卻搖下車窗，在車內持槍朝天空射擊數槍。並於影片中口述：當你想敲爆別人後視鏡，卻忘了自己是住在臺中。搶住海景第一排RC鋼骨制震結構（並附設消波塊圖片），慶記建設邀您進駐。大家都有槍，只有我沒有。別的地方可以，臺中千萬不行,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院裁定108年度中秩字第161號,2019/9/3,臺中市政府警察局霧峰分局,2019/8/9,2019/7/27,彰化縣議員張欣倩服務處助理楊承恩,臉書,批評執政者,買菸人要搬，刷卡刷這張」（下稱系爭貼文），及張貼一幀有民進黨黨徽及標題為民進銀行總統府超買卡之信用卡照片,不罰,,是評論非造謠、屬憲法保障言論自由範疇
臺灣新北地方法院三重簡易庭裁定108年度重秩字第130號,2019/9/5,新北市政府警察局新莊分局,2019/8/22,2019/7/22,,PTT,批評執政者,剛剛傳出車手吳宗憲被捕之後，從手機搜出連絡電話，發現大量外交部調借行政人員涉嫌購買私菸，消息靈通的人都知道，連行政人員都敢這麼搞，外交官等人員更是一發不可收拾,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣雲林地方法院刑事裁定108年度虎秩字第20號,2019/9/6,雲林縣警察局西螺分局,2019/8/14,2019/8/3,,臉書,社會案件,目擊有小女孩遭一男子呼巴掌,罰,1000元,
臺灣臺北地方法院裁定108年度店秩字第71號,2019/9/10,臺北市政府警察局文山第二分局,2019/7/29,2019/6/25,,報紙投書,生活謠言,登革熱患者最低只要口服三西西巴拉刈，數小時內便可將病媒蚊叮咬的機率下降至趨近於零，且患者因登革熱死亡之機率也會大幅下降…,罰,4000元,
臺灣彰化地方法院刑事簡易庭裁定108年度秩字第118號,2019/9/12,彰化縣警察局彰化分局,2019/8/6,2019/6/21,,LINE,施政謠言,一定要轉出這訊：蔡政府掏空農漁會七千億，借給南向國家。一定要讓人民知道民進黨不斷地掏空台灣農民血汗錢?,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定108年度重秩字第128號,2019/9/12,新北市政府警察局蘆洲分局,2019/8/21,2019/7/1,,臉書,批評執政者,可惡民進黨：你們登革熱給越南，印尼（16億）給那麼乾脆，給高雄（5300萬）百般刁難，還分期付款，別國家是皇民，台灣和高雄市民，是賤民，是嗎？,不罰,,非故意散發傳布虛偽事實
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第255號,2019/9/12,新北市政府警察局土城分局,2019/9/6,2019/6/12,,臉書,,,不罰,,超過2個月
臺灣臺北地方法院裁定108年度店秩字第72號,2019/9/12,新北市政府警察局新店分局,2019/8/12,2019/6/22,,168周報,施政謠言,蔡英文，你的課本教學生少量吸毒再轟趴,不罰,,難認定有憑空捏造不實事實
臺灣橋頭地方法院旗山簡易庭裁定108年度旗秩字第5號,2019/9/16,高雄市政府警察局六龜分局,2019/9/4,2019/7/24,,YouTube,批評執政者,美國海關震怒蔡英文包機走私,不受理,,本法僅處罰在我國領域內，及領域外之我國船艦或航空器內違反本法之人
臺灣臺北地方法院裁定108年度店秩字第73號,2019/9/18,新北市政府警察局新店分局,2019/8/8,2019/7/16,,臉書,批評執政者,偉大的蔡英文到海地才四小時、就送了四拾五億、高雄要滅登革熱五千萬才給二千多萬!什麼政府。,不罰,,非故意散發傳布虛偽事實
臺灣基隆地方法院基隆簡易庭裁定108年度基秩字第94號,2019/9/19,基隆市警察局第一分局,2019/9/10,2019/8/5,,臉書,批評執政者,懷疑？？？不用懷疑，這就是我國元首的水準蔡英文竟然說（小三通通三小）令人相當錯愕，一國元首，竟然說出如此粗俗的話,罰,10000元,
臺灣桃園地方法院裁定108年度壢秩字第119號,2019/9/20,桃園市政府警察局龍潭分局,2019/9/16,2019/8/13,員警,臉書,政治人物謠言,蘇貞昌做什麼（左邊的人是蘇貞昌）,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定108年度店秩字第86號,2019/9/23,新北市政府警察局新店分局,2019/9/12,2019/7/20,,168周報,施政謠言,教育部長，課本違法教國二滿足性愛合宜嗎？,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定108年度壢秩字第109號,2019/9/23,桃園市政府警察局中壢分局,,2018/7/7,,臉書,政治人物謠言,殉職員警會場你不願意來就別來跩甚麼跩簽完名字筆還用丟的請問蘇院長你的良心在哪裡？這是一個院長的態度嗎？看了這段影片真讓人生氣，麻煩大家幫忙分享，謝謝大家。,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣嘉義地方法院裁定108年度嘉秩字第36號,2019/9/23,嘉義市政府警察局第二分局,2019/8/28,2019/8/13,,臉書,政治人物謠言,請問輸真慘，你的手放在那裡,罰,2000元,
臺灣基隆地方法院基隆簡易庭裁定108年度基秩字第104號,2019/9/25,基隆市警察局第四分局,2019/9/16,2019/9/16,,臉書,批評執政者,「淫亂台灣同性同婚愛滋樂團不知羞恥」、「修官邸1億2千萬超過前3任16年總和8千萬買車4千萬」,罰,6000元,
臺灣嘉義地方法院裁定108年度嘉秩字第37號,2019/9/25,嘉義縣警察局民雄分局,2019/9/6,2019/8/13,,臉書,政治人物謠言,是她！北京：蔡涉判亂犯要治治,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺南地方法院臺南簡易庭裁定108年度南秩字第113號,2019/9/27,臺南市政府警察局第五分局,2019/9/9,2019/9/9,,臉書,政治人物謠言,蘇貞昌做什麼（左邊的人是蘇貞昌）,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣彰化地方法院刑事裁定108年度秩字第138號,2019/9/30,彰化縣警察局員林分局,2019/9/10,2019/8/14,,臉書,政治人物謠言,韓國瑜被轟吃喝玩樂抱女人、蘇貞昌苦勸：拜託把市政做好,罰,10000元,
臺灣彰化地方法院刑事簡易庭裁定108年度秩字第143號,2019/9/30,彰化縣警察局田中分局,2019/9/16,2018/7/7,,臉書,生活謠言,魩仔魚由塑膠混充,不罰,,警方未證明有散佈謠言的行為
臺灣臺中地方法院簡易庭裁定108年度豐秩字第50號,2019/9/30,臺中市政府警察局豐原分局,2019/9/19,2019/8/5,,臉書,批評執政者,淫亂台灣同性同婚愛滋樂園不知羞恥,罰,3000元,
臺灣新北地方法院板橋簡易庭小額民事判決108年度板秩字第221號,2019/10/4,新北市政府警察局永和分局,2019/8/2,2019/7/15,,臉書,批評執政者,偉大的蔡英文到海地才四小時，就送45億。高雄滅登革熱要五千萬才給二千多萬！媽的！什麼蔡政府,不罰,,是評論非造謠、屬憲法保障言論自由範疇，難認定是故意散播不實事實
福建金門地方法院裁定108年度城秩字第9號,2019/10/4,金門縣警察局金湖分局,2019/9/18,2019/9/6,員警,臉書,政治人物謠言,蔡英文承認為李登輝墮胎多次,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定108年度重秩字第150號,2019/10/5,新北市政府警察局林口分局,2019/9/23,2019/8/5,,臉書,批評執政者,下台，不爽切腹了斷，乎死，海沒蓋去跳海，大走私菸，即捉關起來又禁見，重判刑期，知法犯法，判死刑，即槍斃才公平又公正,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣士林地方法院裁定108年度湖秩字第34號,2019/10/9,新北市政府警察局汐止分局,2019/6/27,2019/6/19,,臉書,批評執政者,蔡政府支援香港暴力遊行10億、高雄登革熱防治零元,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定108年度北秩字第466號,2019/10/9,臺北市政府警察局大安分局,2019/10/4,2019/8/29,國防部,臉書,施政謠言,為什麼執意花3800億去買66架F-16V?根本就是盤子的行為啊…，英國買138架F35也不過3620億..等,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定108年度北秩字第431號,2019/10/17,臺北市政府警察局信義分局,2019/9/16,2019/7/31,,臉書,政治人物謠言,還真是奇怪，這個光頭蘇一直說韓先生講話江湖味開口就是酒味！但還沒有人看過一張韓先生不得體相片，是吧！以下另外這張相片，這個光頭佬熟門熟路，右手抹胸，左手摸臀的到底是誰呢？是誰呢？這個光頭佬雙手還一直在揩油！哎！言行不一的爛傢伙！,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣高雄地方法院鳳山簡易庭裁定108年度鳳秩字第112號,2019/10/22,高雄市政府警察局鳳山分局,2019/10/8,2019/9/15,,臉書,施政謠言,台灣悲哀（同志雜交），感染（愛滋病）非常高，難怪蔡英文硬要綠營通過同婚法、讓台灣成愛茲島、這樣中裕製藥才能大撈特撈、這也是蔡英文真正目的、但願大家自求多福了...,罰,3000元,
臺灣桃園地方法院裁定108年度壢秩字第134號,2019/10/22,桃園市政府警察局楊梅分局,2019/10/16,2019/3/9,國防部,臉書,施政謠言,英國買138架最新型的F-35戰機才3619億。菜政府卻要花3900億買66架落後20年的F16戰機，原來美國是這樣支持台灣的，到底老美坑我們台灣呢？還是菜政府坑我們老百姓？菜政府害台灣百姓，大家群起抵抗這無能、貪腐、缺德……更多,不罰,,超過2個月
臺灣基隆地方法院基隆簡易庭裁定108年度基秩字第110號,2019/10/23,基隆市警察局第三分局,2019/9/26,2019/8/29,國防部,臉書,施政謠言,臺灣買F-16V戰機的均價比英國買F35還貴，另外彈藥還要另外購買，大家覺得執政黨這樣亂搞，有天理嗎。,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣高雄地方法院高雄簡易庭裁定108年度雄秩字第271號,2019/10/23,高雄市政府警察局小港分局,2019/10/16,2019/9/1,,LINE,批評執政者,甲○○爆料：乙○○心中沒有下一代…,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定108年度重秩字第149號,2019/10/23,新北市政府警察局蘆洲分局,2019/9/23,2019/9/23,,臉書,批評執政者,一個人一個黨，要倒要滅，必定要先瘋狂，老天爺也看不下，就用私菸走私讓綠鬼，全部一次滅亡。,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定108年度重秩字第145號,2019/10/23,新北市政府警察局新莊分局,2019/9/19,2019/7/7,,臉書,政治人物謠言,殉職員警的會場，蘇不願意來就別來，拽什麼拽簽完名筆還用丟的,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新竹地方法院竹北簡易庭裁定108年度竹北秩字第21號,2019/10/23,新竹縣政府警察局新湖分局,2019/10/14,2019/9/9,,臉書,,昨天9/8現場很多人的訊號都收不到，真的是被蓋台了。好可惡現場人山人海啊！但是現場電訊號發不出就有這些可惡的電信干擾！現場人多，但是有一些人是比我們忙碌下賤的！就是如照片中一是專打空拍機的槍、二是干擾訊息的專用的所以現場的line含電話都是它干擾過濾的對象..,罰,10000元,
臺灣臺中地方法院裁定108年度中秩字第210號,2019/10/23,臺中市政府警察局第五分局,2019/10/7,2019/8/27,國防部,臉書,施政謠言,英國向美國買138架最新型F-35戰機，只要3619億台幣。台灣菜政府向美國買66架落後20年的F-16V戰機，欲要花3900億台億。到底誰挺誰，誰坑誰，誰被坑，誰騙誰，誰被騙，台灣百姓要好好想一想,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院裁定108年度中秩字第206號,2019/10/23,臺中市政府警察局霧峰分局,2019/10/7,2019/10/7,國防部,臉書,施政謠言,台灣是凱子？或是凱子爹呀？英國買最新F35，138架才3619億台幣。我們買F-16V（沒有F35戰機好），只有66架竟要3900億台幣。貴了3倍以上～天吖？這麼貴交予美國保護費嗎？太太太不合理,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
福建金門地方法院裁定108年度城秩字第10號,2019/10/25,金門縣警察局金湖分局,2019/9/26,2019/9/17,,臉書,政治人物謠言,蔡英文：我就是日本人，我就要當臺灣總統怎麼啦,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院刑事裁定108年度秩抗字第17號,2019/10/28,抗告，108 年度店秩字第71號,,,,報紙,生活謠言,登革熱患者最低只要口服三西西巴拉刈，數小時內便可將病媒蚊叮咬的機率下降至趨近於零，且患者因登革熱死亡之機率也會大幅下降……,抗告駁回,,
臺灣新北地方法院三重簡易庭裁定108年度重秩字第170號,2019/10/30,新北市政府警察局三重分局,2019/10/8,2019/8/25,,臉書,政治人物謠言,蔡英文堂弟蔡世能在桃園成立大日本帝國，希望重建日本政府,不罰,,是評論非造謠、屬憲法保障言論自由範疇
臺灣新北地方法院三重簡易庭裁定108年度重秩字第160號,2019/10/31,新北市政府警察局三重分局,2019/10/8,2019/8/25,,臉書,政治人物謠言,蔡英文堂弟蔡世能在桃園成立大日本帝國，希望重建日本政府,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新竹地方法院裁定108年度竹北秩字第19號,2019/10/31,新竹縣政府警察局新湖分局,2019/8/29,2019/8/29,,臉書,批評執政者,民進黨政府胡作非為，五鬼搬運掏空台灣！民進黨蔡政府不倒，台灣人民永遠不會好。民進黨蔡政府詐騙集團，很快就會把台灣給玩完了！,不罰,,是評論非造謠、屬憲法保障言論自由範疇
臺灣彰化地方法院刑事簡易庭裁定108年度秩字第127號,2019/11/4,彰化縣警察局彰化分局,2019/8/15,2019/7/16,,臉書,批評執政者,偉大大的蔡英文到海地才四小時、就送了四拾五億、高雄要滅登革熱五千萬才給二千多萬！媽的！什麼政府。,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣士林地方法院內湖簡易庭裁定108年度湖秩字第69號,2019/11/5,新北市政府警察局汐止分局,2019/9/30,2019/8/2,,LINE,兩岸相關,虛偽之海峽兩岸旅遊交流協會公告之謠言,罰,3500元,
